Date,Description,Amount,Paid By,Participants
2025-01-15,Team dinner at Barbeque Nation,4850,Rajesh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish"
2025-01-16,Movie night snacks,1250,Piyush,"Nivaan,Reyansh,Dev,Ayaan,Arnav"
2025-01-17,Taxi to airport,1800,Suresh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai"
2025-01-18,Weekend trip accommodation,12500,Vikram,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan"
2025-01-19,Breakfast at hotel,2100,Kunal,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish"
2025-01-20,Lunch at highway dhaba,3200,Anil,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev"
2025-01-21,Shopping for trip supplies,4500,Rajesh,"Aarav,Vihaan,Aditya,Ishaan,Arjun"
2025-01-22,Fuel for road trip,4800,Mohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush"
2025-01-23,Hotel dinner buffet,6500,Rajesh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-01-24,Entry tickets to national park,3600,Vihaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-01-25,Souvenirs for office colleagues,2800,Aditya,"Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish"
2025-01-26,Evening tea and snacks,850,Nivaan,"Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh"
2025-01-27,Dinner at local restaurant,4200,Rohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal"
2025-01-28,Taxi to railway station,1200,Aryan,"Aryan,Rohan,Krish,Nivaan,Reyansh,Dev"
2025-01-29,Train tickets,8500,Krish,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-01-30,Platform food,650,Sai,"Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav"
2025-02-01,Office party snacks,2200,Arjun,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-02,Birthday celebration cake,1800,Ishaan,"Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan"
2025-02-03,Pizza night,2400,Reyansh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev"
2025-02-04,Grocery shopping for flat,5500,Dev,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-05,Electricity bill,8500,Kabir,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-06,Internet bill,3200,Darsh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-07,Water bill,1800,Ayaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
